CB_m1_0h	CB_m2_0h	CB_m3_0h	CB_m4_6h_flag	CB_m5_6h_flag	CB_m6_6h_flag	CB_m7_6h_aCD3	CB_m8_6h_aCD3	CB_m9_6h_aCD3	CB_m10_24h_flag	CB_m11_24h_flag	CB_m12_24h_flag	CB_m13_24h_aCD3	CB_m14_24h_aCD3	CB_m15_24h_aCD3
ID=fig|208479.6.peg.206;Name=hypothetical protein	4	6	2	2	2	0	2	0	2	9	8	4	0	0	0
ID=fig|208479.6.peg.207;Name=hypothetical protein	0	4	0	0	0	0	0	0	2	3	0	4	0	0	2
ID=fig|208479.6.peg.208;Name=hypothetical protein	2	2	0	2	0	0	0	0	2	2	0	2	2	0	0
ID=fig|208479.6.peg.209;Name=hypothetical protein	0	0	2	0	0	0	2	0	2	2	0	2	2	0	2
ID=fig|208479.6.peg.210;Name=hypothetical protein	0	1	2	0	4	0	0	0	2	6	2	2	0	0	0
ID=fig|208479.6.peg.211;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	0	5	4	0	2	2	0	0	0	0	4	2	0	0	0
ID=fig|208479.6.peg.212;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0
ID=fig|208479.6.peg.213;Name=Single-stranded DNA-binding protein	0	0	2	2	1	2	0	0	0	0	0	4	0	0	0
ID=fig|208479.6.peg.214;Name=hypothetical protein	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0
ID=fig|208479.6.peg.215;Name=RecD-like DNA helicase YrrC	0	0	4	2	2	0	6	2	2	12	6	0	4	2	0
ID=fig|208479.6.peg.216;Name=hypothetical protein	0	2	2	0	2	0	0	0	0	0	5	2	0	2	0
ID=fig|208479.6.peg.217;Name=hypothetical protein	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0
ID=fig|208479.6.peg.218;Name=hypothetical protein	2	2	0	2	0	0	0	1	2	2	0	6	0	0	2
ID=fig|208479.6.peg.219;Name=hypothetical protein	24	47	29	37	93	61	163	69	149	43	28	53	47	68	52
ID=fig|208479.6.peg.220;Name=hypothetical protein	145	111	70	137	226	207	372	189	341	89	77	179	208	191	146
ID=fig|208479.6.peg.221;Name=hypothetical protein	49	34	7	22	33	32	79	17	73	26	19	28	53	45	42
ID=fig|208479.6.peg.222;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.223;Name=hypothetical protein	0	0	2	0	4	4	8	0	4	2	4	2	4	0	2
ID=fig|208479.6.peg.224;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID=fig|208479.6.peg.225;Name=PUA-PAPS reductase like fusion	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2
ID=fig|208479.6.peg.226;Name=hypothetical protein	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.227;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|208479.6.peg.228;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.229;Name=hypothetical protein	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.230;Name=hypothetical protein	6	2	2	0	0	0	2	0	2	0	0	4	2	2	0
ID=fig|208479.6.peg.231;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.232;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID=fig|208479.6.peg.233;Name=hypothetical protein	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0
ID=fig|208479.6.peg.234;Name=hypothetical protein	2	0	0	0	2	0	0	0	2	0	2	0	4	2	0
ID=fig|208479.6.peg.235;Name=hypothetical protein	16	28	0	16	4	16	34	6	40	20	4	32	22	24	36
ID=fig|208479.6.peg.236;Name=Retron-type RNA-directed DNA polymerase (EC 2.7.7.49);Ontology_term=KEGG_ENZYME:2.7.7.49	2	2	4	2	4	3	7	0	2	3	8	4	9	8	2
ID=fig|208479.6.peg.237;Name=Integrase/recombinase%2C RitC	2	2	4	6	4	4	4	0	4	2	4	4	9	8	2
ID=fig|208479.6.peg.238;Name=Integrase/recombinase%2C RitB	2	2	2	0	4	0	0	2	2	4	2	2	6	4	4
ID=fig|208479.6.peg.239;Name=Integrase/recombinase%2C RitA	0	4	4	2	4	4	2	2	2	0	0	0	2	2	6
ID=fig|208479.6.peg.240;Name=Retron-type RNA-directed DNA polymerase (EC 2.7.7.49);Ontology_term=KEGG_ENZYME:2.7.7.49	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0
ID=fig|208479.6.peg.241;Name=hypothetical protein	0	2	0	4	0	1	0	0	4	0	0	0	2	6	0
ID=fig|208479.6.peg.242;Name=hypothetical protein	2	0	0	2	2	0	4	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.243;Name=hypothetical protein	1	0	0	0	0	0	0	0	2	0	0	2	2	0	1
ID=fig|208479.6.peg.244;Name=Transcriptional regulator%2C DeoR family	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
ID=fig|208479.6.peg.245;Name=FIG00513093: hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.246;Name=hypothetical protein	1	0	2	0	0	0	0	0	0	0	6	4	0	2	0
ID=fig|208479.6.peg.247;Name=hypothetical protein	10	16	10	0	6	0	6	0	10	6	14	15	12	13	10
ID=fig|208479.6.peg.248;Name=hypothetical protein	20	29	18	9	14	8	12	4	16	14	18	26	10	23	10
ID=fig|208479.6.peg.249;Name=Excinuclease ABC subunit B	28	113	85	43	103	64	103	52	68	135	83	150	118	85	45
ID=fig|208479.6.peg.250;Name=Choline binding protein A	204	454	284	244	321	352	688	281	252	524	202	573	659	331	635
ID=fig|208479.6.peg.251;Name=hypothetical protein	1	6	0	1	7	6	6	2	0	3	10	14	8	1	2
ID=fig|208479.6.peg.252;Name=Ferrous iron transport protein B	55	158	111	79	131	91	195	88	86	174	137	115	192	96	50
ID=fig|208479.6.peg.253;Name=hypothetical protein	34	40	45	56	48	47	49	46	18	39	43	27	46	67	16
ID=fig|208479.6.peg.254;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	4	0	2	0	2	0
ID=fig|208479.6.peg.255;Name=FIG00519749: hypothetical protein	6	28	12	0	15	6	11	11	12	18	20	33	16	12	8
ID=fig|208479.6.peg.256;Name=hypothetical protein	6	6	8	2	7	2	11	3	0	10	10	9	10	4	2
ID=fig|208479.6.peg.257;Name=hypothetical protein	10	16	15	2	38	10	27	12	18	34	42	42	37	18	8
ID=fig|208479.6.peg.258;Name=S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17);Ontology_term=KEGG_ENZYME:2.4.99.17	14	42	13	12	34	14	33	8	24	63	46	44	62	28	14
ID=fig|208479.6.peg.259;Name=Ribosomal large subunit pseudouridine synthase F (EC 5.4.99.21);Ontology_term=KEGG_ENZYME:5.4.99.21	26	42	29	20	30	14	33	10	17	63	32	62	50	48	12
ID=fig|208479.6.peg.260;Name=DNA ligase (NAD(+)) (EC 6.5.1.2);Ontology_term=KEGG_ENZYME:6.5.1.2	42	151	80	47	128	57	85	31	53	132	102	126	165	85	60
ID=fig|208479.6.peg.261;Name=Homoserine O-succinyltransferase (EC 2.3.1.46);Ontology_term=KEGG_ENZYME:2.3.1.46	39	55	28	13	62	25	44	11	22	81	44	51	92	38	16
ID=fig|208479.6.peg.262;Name=Choline binding protein A	16	90	38	26	91	22	61	18	61	135	101	117	140	48	30
ID=fig|208479.6.peg.263;Name=hypothetical protein	6	2	0	0	2	4	0	2	4	4	4	4	6	4	2
ID=fig|208479.6.peg.264;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.265;Name=hypothetical protein	26	28	60	15	80	23	155	57	173	14	114	8	26	78	4
ID=fig|208479.6.peg.266;Name=Na(+)-linked D-alanine glycine permease	226	317	381	135	523	204	848	299	1038	20	549	86	154	226	22
ID=fig|208479.6.peg.267;Name=hypothetical protein	5	8	4	6	6	2	5	0	5	8	6	12	10	7	4
ID=fig|208479.6.peg.268;Name=Transcriptional regulator%2C AraC family	3	4	16	4	18	2	16	6	4	2	8	14	6	3	4
ID=fig|208479.6.peg.269;Name=ATP-dependent DNA helicase rep (EC 3.6.1.-);Ontology_term=KEGG_ENZYME:3.6.1.-	3	18	14	4	8	18	38	6	18	12	11	16	32	12	14
ID=fig|208479.6.peg.270;Name=Bsu YqfO NIF3/CutA domain	4	14	10	4	6	0	13	14	4	10	7	10	18	7	6
ID=fig|208479.6.peg.271;Name=Hcp transcriptional regulator HcpR (Crp/Fnr family)	8	34	22	32	16	28	61	34	28	32	4	42	50	41	16
ID=fig|208479.6.peg.272;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.273;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.274;Name=Metal-dependent hydrolase of the beta-lactamase superfamily II	2	12	6	0	10	4	6	0	2	8	12	10	10	10	2
ID=fig|208479.6.peg.275;Name=hypothetical protein	2	18	10	6	16	6	12	0	1	20	20	23	22	5	13
ID=fig|208479.6.peg.276;Name=hypothetical protein	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
ID=fig|208479.6.peg.277;Name=hypothetical protein	0	6	2	0	0	0	4	0	4	3	2	6	0	2	0
ID=fig|208479.6.peg.278;Name=hypothetical protein	2	0	0	0	0	4	0	0	1	6	0	2	4	0	0
ID=fig|208479.6.peg.279;Name=hypothetical protein	8	10	6	4	4	0	2	2	1	13	6	18	10	12	4
ID=fig|208479.6.peg.280;Name=D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);Ontology_term=KEGG_ENZYME:1.1.1.95	62	160	140	30	68	50	101	48	46	208	188	346	138	143	81
ID=fig|208479.6.peg.281;Name=Acylphosphate phosphohydrolase (EC 3.6.1.7)%2C putative;Ontology_term=KEGG_ENZYME:3.6.1.7	2	22	26	2	6	4	5	4	4	34	16	38	11	7	13
ID=fig|208479.6.peg.282;Name=Ribonuclease BN (EC 3.1.-.-);Ontology_term=KEGG_ENZYME:3.1.-.-	26	73	74	16	25	20	42	28	34	102	52	64	78	61	57
ID=fig|208479.6.peg.283;Name=Transcriptional regulator%2C LysR family	0	17	21	8	23	16	12	4	9	25	8	25	22	25	15
ID=fig|208479.6.peg.284;Name=Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 1	20	56	37	15	40	38	30	10	15	51	62	69	36	44	30
ID=fig|208479.6.peg.285;Name=Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 2	14	38	40	13	34	36	42	22	17	44	67	72	22	33	16
ID=fig|208479.6.peg.286;Name=Uncharacterized UPF0750 membrane protein	4	16	16	2	6	2	10	4	4	16	23	18	16	14	4
ID=fig|208479.6.peg.287;Name=Hemolysins and related proteins containing CBS domains	16	30	44	20	41	24	42	12	33	73	40	65	26	26	24
ID=fig|208479.6.peg.288;Name=Oxaloacetate decarboxylase beta chain (EC 4.1.1.3);Ontology_term=KEGG_ENZYME:4.1.1.3	24	119	113	32	80	58	73	42	66	110	67	141	48	106	47
ID=fig|208479.6.peg.289;Name=hypothetical protein	10	13	13	4	9	10	14	6	10	18	23	42	8	22	5
ID=fig|208479.6.peg.290;Name=Sodium/glycine symporter GlyP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.291;Name=hypothetical protein	8	6	8	6	14	11	6	2	1	17	8	28	4	13	4
ID=fig|208479.6.peg.292;Name=SAM-dependent methyltransferase	56	155	88	24	61	53	87	24	38	155	81	132	42	102	44
ID=fig|208479.6.peg.293;Name=Uncharacterized MFS-type transporter	48	156	103	34	67	75	67	46	87	182	81	152	55	110	74
ID=fig|208479.6.peg.294;Name=Transcriptional regulator%2C AcrR family	6	8	10	4	2	3	16	8	4	17	10	16	29	10	2
ID=fig|208479.6.peg.295;Name=hypothetical protein	0	0	0	1	2	0	0	0	0	2	0	0	0	2	0
ID=fig|208479.6.peg.296;Name=Predicted transcriptional regulators	2	4	0	1	0	2	2	0	0	0	4	2	2	0	2
ID=fig|208479.6.peg.297;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
ID=fig|208479.6.peg.298;Name=hypothetical protein	2	0	1	4	7	1	2	0	0	2	3	2	11	0	1
ID=fig|208479.6.peg.299;Name=GTP-binding and nucleic acid-binding protein YchF	20	80	37	24	79	37	64	16	22	60	49	56	109	32	36
ID=fig|208479.6.peg.300;Name=NADH peroxidase (EC 1.11.1.1);Ontology_term=KEGG_ENZYME:1.11.1.1	2	0	2	4	8	0	0	4	2	4	2	4	7	1	0
ID=fig|208479.6.peg.301;Name=Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-);Ontology_term=KEGG_ENZYME:2.4.99.-	4	20	16	8	20	14	31	4	16	28	20	28	41	15	14
ID=fig|208479.6.peg.302;Name=Cell division protein MraZ	20	41	33	14	38	22	40	17	30	47	56	110	72	52	55
ID=fig|208479.6.peg.303;Name=16S rRNA (cytosine(1402)-N(4))-methyltransferase EC 2.1.1.199);Ontology_term=KEGG_ENZYME:2.1.1.199	36	73	78	35	134	111	98	43	77	114	100	216	116	77	92
ID=fig|208479.6.peg.304;Name=Cell division protein FtsL	20	48	38	18	42	46	62	16	36	96	53	91	85	43	66
ID=fig|208479.6.peg.305;Name=Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129);Ontology_term=KEGG_ENZYME:2.4.1.129	42	128	150	61	170	138	140	70	82	202	114	211	288	114	183
ID=fig|208479.6.peg.306;Name=Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129) @ Sporulation peptidoglycan synthetase SpoVD;Ontology_term=KEGG_ENZYME:2.4.1.129	110	227	148	98	195	170	146	96	120	179	164	411	248	180	103
ID=fig|208479.6.peg.307;Name=Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13);Ontology_term=KEGG_ENZYME:2.7.8.13	155	244	175	97	160	127	184	92	96	212	165	330	219	192	105
ID=fig|208479.6.peg.308;Name=UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9);Ontology_term=KEGG_ENZYME:6.3.2.9	114	288	149	81	194	103	160	73	106	219	201	411	226	183	120
ID=fig|208479.6.peg.309;Name=Cell division protein FtsW @ Stage V sporulation protein E	103	202	151	76	130	111	160	81	93	167	93	227	218	165	90
ID=fig|208479.6.peg.310;Name=UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7);Ontology_term=KEGG_ENZYME:2.5.1.7	972	1015	806	1172	1163	1295	1330	754	1033	924	457	1165	1498	1598	519
ID=fig|208479.6.peg.311;Name=Cell division protein FtsQ	27	38	20	26	32	16	37	10	19	31	29	49	82	38	17
ID=fig|208479.6.peg.312;Name=Cell division protein FtsZ (EC 3.4.24.-);Ontology_term=KEGG_ENZYME:3.4.24.-	78	272	154	96	326	114	292	112	102	334	204	238	452	140	120
ID=fig|208479.6.peg.313;Name=hypothetical protein	6	15	14	2	18	4	20	17	8	35	9	22	17	10	2
ID=fig|208479.6.peg.314;Name=hypothetical protein	10	9	6	10	4	6	16	11	6	27	13	25	21	6	4
ID=fig|208479.6.peg.315;Name=hypothetical protein	0	0	0	2	0	2	4	0	4	0	0	8	13	12	8
ID=fig|208479.6.peg.316;Name=TRAP-type C4-dicarboxylate transport system%2C periplasmic component	2	4	20	24	6	2	36	2	26	7	2	26	75	53	26
ID=fig|208479.6.peg.317;Name=hypothetical protein	0	0	2	0	0	0	4	0	4	3	0	2	4	4	2
ID=fig|208479.6.peg.318;Name=TRAP-type C4-dicarboxylate transport system%2C large permease component	2	2	8	4	4	2	10	2	4	2	0	2	4	6	8
ID=fig|208479.6.peg.319;Name=hypothetical protein	0	2	2	4	0	0	8	2	2	5	2	4	26	38	4
ID=fig|208479.6.peg.320;Name=Xylulose kinase (EC 2.7.1.17);Ontology_term=KEGG_ENZYME:2.7.1.17	4	2	10	20	4	12	18	10	4	9	6	10	45	52	16
ID=fig|208479.6.peg.321;Name=hypothetical protein	0	0	4	0	4	0	12	6	2	2	0	8	9	10	6
ID=fig|208479.6.peg.322;Name=Transketolase%2C N-terminal section (EC 2.2.1.1);Ontology_term=KEGG_ENZYME:2.2.1.1	2	1	6	4	0	2	2	2	0	2	0	6	10	8	2
ID=fig|208479.6.peg.323;Name=Transketolase%2C C-terminal section (EC 2.2.1.1);Ontology_term=KEGG_ENZYME:2.2.1.1	0	1	6	0	0	4	0	0	6	2	0	4	10	14	2
ID=fig|208479.6.peg.324;Name=Sugar phosphate isomerases/epimerases	0	0	8	0	2	0	0	0	0	0	0	0	0	3	2
ID=fig|208479.6.peg.325;Name=D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);Ontology_term=KEGG_ENZYME:1.1.1.95	0	6	4	8	2	0	10	2	0	2	2	10	24	15	4
ID=fig|208479.6.peg.326;Name=Sporulation sigma-E factor processing peptidase (SpoIIGA)	327	491	356	365	989	518	580	311	547	660	365	773	787	373	244
ID=fig|208479.6.peg.327;Name=RNA polymerase sporulation specific sigma factor SigE	338	644	418	438	1141	571	640	285	775	828	455	734	1168	427	267
ID=fig|208479.6.peg.328;Name=hypothetical protein	8	42	24	21	40	28	84	32	52	32	20	33	60	30	22
ID=fig|208479.6.peg.329;Name=Maebl	30	69	99	50	70	58	105	22	70	119	86	147	119	69	70
ID=fig|208479.6.peg.330;Name=RNA polymerase sporulation specific sigma factor SigG	18	15	32	26	14	20	29	28	22	39	12	55	23	33	8
ID=fig|208479.6.peg.331;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.332;Name=hypothetical protein	40	62	54	62	66	104	120	40	58	108	138	134	92	66	74
ID=fig|208479.6.peg.333;Name=hypothetical protein	87	78	76	32	81	44	64	18	56	92	54	128	142	128	67
ID=fig|208479.6.peg.334;Name=Two-component system sensor histidine kinase	4	30	16	12	31	24	30	10	6	43	26	32	51	18	29
ID=fig|208479.6.peg.335;Name=Two-component response regulator yesN	0	4	8	2	10	4	8	0	6	9	10	18	11	10	4
ID=fig|208479.6.peg.336;Name=ABC transporter%2C substrate-binding protein (cluster 1%2C maltose/g3p/polyamine/iron)	0	7	2	0	4	2	2	0	4	4	8	10	6	0	0
ID=fig|208479.6.peg.337;Name=ABC transporter%2C permease protein 1 (cluster 1%2C maltose/g3p/polyamine/iron)	0	1	0	1	0	0	0	2	0	6	0	2	2	0	0
ID=fig|208479.6.peg.338;Name=ABC transporter%2C permease protein 2 (cluster 1%2C maltose/g3p/polyamine/iron)	0	2	0	1	0	0	0	0	0	0	0	2	2	2	0
ID=fig|208479.6.peg.339;Name=hypothetical protein	0	0	2	2	2	2	4	2	2	2	0	4	6	0	0
ID=fig|208479.6.peg.340;Name=Xylan 1%2C4-beta-xylosidase (EC 3.2.1.37);Ontology_term=KEGG_ENZYME:3.2.1.37	0	2	0	0	4	0	0	0	0	4	2	6	3	2	0
ID=fig|208479.6.peg.341;Name=Pantothenate kinase type III%2C CoaX-like (EC 2.7.1.33);Ontology_term=KEGG_ENZYME:2.7.1.33	10	40	30	12	30	24	26	18	22	26	20	36	51	18	22
ID=fig|208479.6.peg.342;Name=Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5);Ontology_term=KEGG_ENZYME:4.1.1.36,KEGG_ENZYME:6.3.2.5	34	70	38	12	28	48	58	28	32	106	48	66	56	64	20
ID=fig|208479.6.peg.343;Name=Ribose operon repressor	21	38	28	58	640	10	189	22	14	42	21	56	30	12	20
ID=fig|208479.6.peg.344;Name=Ribokinase (EC 2.7.1.15);Ontology_term=KEGG_ENZYME:2.7.1.15	14	19	30	196	931	20	307	18	3	55	29	33	40	28	14
ID=fig|208479.6.peg.345;Name=Ribose ABC transport system%2C high affinity permease RbsD (TC 3.A.1.2.1)	8	15	8	157	550	4	234	6	7	11	2	7	4	11	5
ID=fig|208479.6.peg.346;Name=Ribose ABC transport system%2C ATP-binding protein RbsA (TC 3.A.1.2.1)	0	4	0	314	1056	18	482	49	7	4	0	8	0	5	3
ID=fig|208479.6.peg.347;Name=Ribose ABC transport system%2C permease protein RbsC (TC 3.A.1.2.1)	2	8	8	381	1313	37	689	107	15	2	2	4	2	6	6
ID=fig|208479.6.peg.348;Name=Ribose ABC transport system%2C periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	4	10	8	525	1640	83	1105	192	66	10	4	10	2	8	12
ID=fig|208479.6.peg.349;Name=hypothetical protein	18	102	118	62	114	124	128	38	64	126	38	132	78	99	64
ID=fig|208479.6.peg.350;Name=Peptide chain release factor 3	124	252	184	113	247	128	192	87	136	294	149	241	402	178	160
ID=fig|208479.6.peg.351;Name=Transamidase GatB domain protein	15	53	38	14	60	23	69	35	21	94	67	109	55	46	28
ID=fig|208479.6.peg.352;Name=Putative Xaa-His dipeptidase	20	133	96	42	68	36	62	28	49	121	80	163	72	86	41
ID=fig|208479.6.peg.353;Name=hypothetical protein	48	186	64	60	84	67	94	30	66	120	111	171	121	105	54
ID=fig|208479.6.peg.354;Name=hypothetical protein	111	53	24	8	11	4	21	6	8	29	63	44	69	63	18
ID=fig|208479.6.peg.355;Name=Methionine ABC transporter ATP-binding protein	7	54	28	20	30	12	40	6	12	65	36	32	58	24	7
ID=fig|208479.6.peg.356;Name=Methionine ABC transporter permease protein	10	34	20	13	25	10	12	8	6	29	30	31	55	18	8
ID=fig|208479.6.peg.357;Name=Methionine ABC transporter substrate-binding protein	13	24	10	12	4	4	14	12	2	96	45	81	42	17	10
ID=fig|208479.6.peg.358;Name=Methionine ABC transporter substrate-binding protein	23	84	40	24	69	28	50	14	10	207	132	175	106	71	24
ID=fig|208479.6.peg.359;Name=hypothetical protein	52	39	38	2	26	21	30	28	16	48	36	72	47	76	22
ID=fig|208479.6.peg.360;Name=FIG011856: hypothetical protein	16	20	12	12	16	17	12	8	10	30	25	52	15	21	6
ID=fig|208479.6.peg.361;Name=hypothetical protein	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0
ID=fig|208479.6.peg.362;Name=3-dehydroquinate dehydratase I (EC 4.2.1.10);Ontology_term=KEGG_ENZYME:4.2.1.10	10	18	28	2	30	22	20	12	10	32	12	32	36	18	18
ID=fig|208479.6.peg.363;Name=Ribonucleotide reductase transcriptional regulator NrdR	5	22	5	4	10	8	17	5	2	18	14	12	19	9	7
ID=fig|208479.6.peg.364;Name=FIG001553: Hydrolase%2C HAD subfamily IIIA	4	16	5	6	10	0	9	1	8	14	20	18	21	9	9
ID=fig|208479.6.peg.365;Name=Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25);Ontology_term=KEGG_ENZYME:1.1.1.25	12	46	6	10	28	10	18	4	10	26	30	50	20	22	6
ID=fig|208479.6.peg.366;Name=Translation elongation factor P	107	150	101	54	110	39	119	24	50	259	174	213	207	98	59
ID=fig|208479.6.peg.367;Name=Arginyl-tRNA synthetase (EC 6.1.1.19);Ontology_term=KEGG_ENZYME:6.1.1.19	80	205	110	57	167	77	149	36	56	227	132	198	232	93	82
ID=fig|208479.6.peg.368;Name=DNA/RNA helicases%2C SNF2 family	77	115	62	62	92	46	91	17	26	127	102	141	147	72	39
ID=fig|208479.6.peg.369;Name=Iron-sulfur flavoprotein	18	75	42	21	29	38	41	13	26	91	62	124	71	48	24
ID=fig|208479.6.peg.370;Name=hypothetical protein	2	2	12	8	14	16	36	14	16	18	14	10	28	8	8
ID=fig|208479.6.peg.371;Name=transcriptional regulator%2C MarR family	2	4	0	0	8	0	6	0	1	2	4	1	0	2	0
ID=fig|208479.6.peg.372;Name=Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 1	0	10	4	4	6	2	14	4	7	12	2	7	18	12	4
ID=fig|208479.6.peg.373;Name=Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 2	6	20	8	6	18	0	34	8	4	8	8	10	14	4	6
ID=fig|208479.6.peg.374;Name=Electron transport complex protein RnfC	39	176	76	32	100	34	102	28	19	210	142	173	143	76	38
ID=fig|208479.6.peg.375;Name=Electron transport complex protein RnfD	15	83	60	17	39	28	52	18	12	139	74	78	84	43	22
ID=fig|208479.6.peg.376;Name=Electron transport complex protein RnfG	16	85	72	26	36	25	38	6	10	119	62	75	74	49	18
ID=fig|208479.6.peg.377;Name=Electron transport complex protein RnfE	16	89	42	14	43	19	43	22	10	108	79	75	77	27	21
ID=fig|208479.6.peg.378;Name=Electron transport complex protein RnfA	5	101	44	16	58	22	40	8	20	116	104	72	85	40	32
ID=fig|208479.6.peg.379;Name=Electron transport complex protein RnfB	47	148	74	30	61	20	41	24	16	158	112	87	102	77	37
ID=fig|208479.6.peg.380;Name=Sodium/proline symporter	2	2	8	2	4	0	4	2	4	374	168	710	4	28	0
ID=fig|208479.6.peg.381;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.382;Name=Spore cortex-lytic enzyme precursor	149	316	326	56	303	101	71	37	99	404	258	427	308	206	105
ID=fig|208479.6.peg.383;Name=Putative sugar isomerase involved in processing of exogenous sialic acid	181	300	254	80	291	147	126	91	166	520	458	680	371	309	188
ID=fig|208479.6.peg.384;Name=Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49);Ontology_term=KEGG_ENZYME:4.1.1.49	480	1113	858	318	898	494	985	260	294	2471	2004	2732	1669	1010	698
ID=fig|208479.6.peg.385;Name=hypothetical protein	0	1	0	0	0	0	0	0	1	4	0	3	0	0	0
ID=fig|208479.6.peg.386;Name=hypothetical protein	51	87	98	26	72	52	110	40	51	126	52	136	106	130	140
ID=fig|208479.6.peg.387;Name=Overcoming lysogenization defect protein	20	44	26	17	28	22	46	24	30	46	51	88	78	46	30
ID=fig|208479.6.peg.388;Name=Carbon starvation protein A	216	814	775	449	623	692	753	730	825	796	449	656	528	499	165
ID=fig|208479.6.peg.389;Name=Autolysis response regulater LytR	10	34	30	20	9	18	37	22	12	30	16	13	22	17	12
ID=fig|208479.6.peg.390;Name=Autolysis histidine kinase LytS	36	82	69	48	53	54	83	44	52	64	48	51	98	44	38
ID=fig|208479.6.peg.391;Name=hypothetical protein	2	4	2	0	0	0	2	0	0	8	4	7	2	0	0
ID=fig|208479.6.peg.392;Name=Transcriptional regulator%2C GntR family	0	24	4	0	2	0	2	0	2	15	22	29	5	4	23
ID=fig|208479.6.peg.393;Name=Efflux ABC transporter%2C ATP-binding protein	2	99	8	2	10	8	6	4	2	73	54	71	15	6	66
ID=fig|208479.6.peg.394;Name=hypothetical protein	14	430	52	9	30	4	24	14	10	248	216	227	56	30	188
ID=fig|208479.6.peg.395;Name=L-serine dehydratase%2C alpha subunit (EC 4.3.1.17);Ontology_term=KEGG_ENZYME:4.3.1.17	60	80	56	42	24	41	44	28	34	106	31	72	86	48	57
ID=fig|208479.6.peg.396;Name=L-serine dehydratase%2C beta subunit (EC 4.3.1.17);Ontology_term=KEGG_ENZYME:4.3.1.17	6	32	30	3	10	10	10	2	0	24	12	24	28	13	15
ID=fig|208479.6.peg.397;Name=hypothetical protein	8	12	20	4	20	2	10	4	14	52	16	22	48	21	24
ID=fig|208479.6.peg.398;Name=Inner membrane protein YihN	2	4	6	0	8	4	4	0	2	4	2	8	14	2	8
ID=fig|208479.6.peg.399;Name=hypothetical protein	2	9	4	4	10	2	8	3	8	7	4	10	14	2	4
